奖励序号,描述,段位等级,段位描述,奖励配置列表,额外奖励标准（段位等级；胜利次数）,额外奖励列表,赛季结算分,普通条件描述,额外条件描述
int,string,int,string,string,string,string,int,string,string
1,s1赛季,0,青铜3,1576;1609,,,1050,青铜段位胜场奖赛季结束可领取,
1,s1赛季,1,青铜3,1576;1609,,,1050,青铜段位胜场奖赛季结束可领取,
1,s1赛季,2,青铜2,1577;1610,,,1100,青铜段位胜场奖赛季结束可领取,
1,s1赛季,3,青铜1,1578;1611,,,1150,青铜段位胜场奖赛季结束可领取,
1,s1赛季,4,白银5,1579;1612,,,1200,白银段位胜场奖赛季结束可领取,
1,s1赛季,5,白银4,1580;1613,,,1250,白银段位胜场奖赛季结束可领取,
1,s1赛季,6,白银3,1581;1614,,,1300,白银段位胜场奖赛季结束可领取,
1,s1赛季,7,白银2,1582;1615,,,1350,白银段位胜场奖赛季结束可领取,
1,s1赛季,8,白银1,1583;1616,,,1400,白银段位胜场奖赛季结束可领取,
1,s1赛季,9,黄金5,1584;1617,,,1450,黄金段位胜场奖赛季结束可领取,
1,s1赛季,10,黄金4,1585;1618,,,1450,黄金段位胜场奖赛季结束可领取,
1,s1赛季,11,黄金3,1586;1619,,,1500,黄金段位胜场奖赛季结束可领取,
1,s1赛季,12,黄金2,1587;1620,,,1550,黄金段位胜场奖赛季结束可领取,
1,s1赛季,13,黄金1,1588;1621,,,1600,黄金段位胜场奖赛季结束可领取,
1,s1赛季,14,白金5,1589;1622,,,1650,白金段位胜场奖赛季结束可领取,
1,s1赛季,15,白金4,1590;1623,,,1700,白金段位胜场奖赛季结束可领取,
1,s1赛季,16,白金3,1591;1624,,,1700,白金段位胜场奖赛季结束可领取,
1,s1赛季,17,白金2,1592;1625,,,1750,白金段位胜场奖赛季结束可领取,
1,s1赛季,18,白金1,1593;1626,,,1800,白金段位胜场奖赛季结束可领取,
1,s1赛季,19,钻石5,1594;1627,,,1850,钻石段位胜场奖赛季结束可领取,
1,s1赛季,20,钻石4,1595;1628,,,1850,钻石段位胜场奖赛季结束可领取,
1,s1赛季,21,钻石3,1596;1629,,,1900,钻石段位胜场奖赛季结束可领取,
1,s1赛季,22,钻石2,1597;1630,,,1900,钻石段位胜场奖赛季结束可领取,
1,s1赛季,23,钻石1,1598;1631,,,1950,钻石段位胜场奖赛季结束可领取,
1,s1赛季,24,大师5,1599;1632,,,1950,大师段位胜场奖赛季结束可领取,
1,s1赛季,25,大师4,1600;1633,,,1950,大师段位胜场奖赛季结束可领取,
1,s1赛季,26,大师3,1601;1634,,,2000,大师段位胜场奖赛季结束可领取,
1,s1赛季,27,大师2,1602;1635,,,2000,大师段位胜场奖赛季结束可领取,
1,s1赛季,28,大师1,1603;1636,,,2000,大师段位胜场奖赛季结束可领取,
1,s1赛季,29,王者5,1604;1637,,,2050,王者段位胜场奖赛季结束可领取,
1,s1赛季,30,王者4,1605;1638,,,2050,王者段位胜场奖赛季结束可领取,
1,s1赛季,31,王者3,1606;1639,,,2050,王者段位胜场奖赛季结束可领取,
1,s1赛季,32,王者2,1607;1640,,,2050,王者段位胜场奖赛季结束可领取,
1,s1赛季,33,王者1,1608;1641,,,2050,王者段位胜场奖赛季结束可领取,
2,s2赛季,0,青铜3,1576;1609,,,1050,青铜段位胜场奖赛季结束可领取,
2,s2赛季,1,青铜3,1576;1609,,,1050,青铜段位胜场奖赛季结束可领取,
2,s2赛季,2,青铜2,1577;1610,,,1100,青铜段位胜场奖赛季结束可领取,
2,s2赛季,3,青铜1,1578;1611,,,1150,青铜段位胜场奖赛季结束可领取,
2,s2赛季,4,白银5,1579;1612,,,1200,白银段位胜场奖赛季结束可领取,
2,s2赛季,5,白银4,1580;1613,,,1250,白银段位胜场奖赛季结束可领取,
2,s2赛季,6,白银3,1581;1614,,,1300,白银段位胜场奖赛季结束可领取,
2,s2赛季,7,白银2,1582;1615,,,1350,白银段位胜场奖赛季结束可领取,
2,s2赛季,8,白银1,1583;1616,,,1400,白银段位胜场奖赛季结束可领取,
2,s2赛季,9,黄金5,1584;1617,,,1450,黄金段位胜场奖赛季结束可领取,
2,s2赛季,10,黄金4,1585;1618,,,1450,黄金段位胜场奖赛季结束可领取,
2,s2赛季,11,黄金3,1586;1619,,,1500,黄金段位胜场奖赛季结束可领取,
2,s2赛季,12,黄金2,1587;1620,,,1550,黄金段位胜场奖赛季结束可领取,
2,s2赛季,13,黄金1,1588;1621,,,1600,黄金段位胜场奖赛季结束可领取,
2,s2赛季,14,白金5,1589;1622,,,1650,白金段位胜场奖赛季结束可领取,
2,s2赛季,15,白金4,1590;1623,,,1700,白金段位胜场奖赛季结束可领取,
2,s2赛季,16,白金3,1591;1624,,,1700,白金段位胜场奖赛季结束可领取,
2,s2赛季,17,白金2,1592;1625,,,1750,白金段位胜场奖赛季结束可领取,
2,s2赛季,18,白金1,1593;1626,,,1800,白金段位胜场奖赛季结束可领取,
2,s2赛季,19,钻石5,1594;1627,,,1850,钻石段位胜场奖赛季结束可领取,
2,s2赛季,20,钻石4,1595;1628,,,1850,钻石段位胜场奖赛季结束可领取,
2,s2赛季,21,钻石3,1596;1629,,,1900,钻石段位胜场奖赛季结束可领取,
2,s2赛季,22,钻石2,1597;1630,,,1900,钻石段位胜场奖赛季结束可领取,
2,s2赛季,23,钻石1,1598;1631,,,1950,钻石段位胜场奖赛季结束可领取,
2,s2赛季,24,大师5,1599;1632,,,1950,大师段位胜场奖赛季结束可领取,
2,s2赛季,25,大师4,1600;1633,,,1950,大师段位胜场奖赛季结束可领取,
2,s2赛季,26,大师3,1601;1634,,,2000,大师段位胜场奖赛季结束可领取,
2,s2赛季,27,大师2,1602;1635,,,2000,大师段位胜场奖赛季结束可领取,
2,s2赛季,28,大师1,1603;1636,,,2000,大师段位胜场奖赛季结束可领取,
2,s2赛季,29,王者5,1604;1637,,,2050,王者段位胜场奖赛季结束可领取,
2,s2赛季,30,王者4,1605;1638,,,2050,王者段位胜场奖赛季结束可领取,
2,s2赛季,31,王者3,1606;1639,,,2050,王者段位胜场奖赛季结束可领取,
2,s2赛季,32,王者2,1607;1640,,,2050,王者段位胜场奖赛季结束可领取,
2,s2赛季,33,王者1,1608;1641,,,2050,王者段位胜场奖赛季结束可领取,
