编号,名称,任务脚本,任务类型（1首胜任务2帮会任务3循环任务4主线5交互6日常7排位）,任务追踪显示位置（1任务系统2帮会任务界面）,优先级排序（0为不处理，数字越大写的越前）,任务描述,提示类型（0接受不提示1接受提示2完成提示）,下线保存（0保存1不保存）,是否允许删除（0不可删除1可删除）,循环类型（1按小时刷新2每日固定时间刷新3每周刷新）,小时刷新间隔,每日重复次数,每周重复次数,任务数据清除条件（0不清除1每日清除2每周清除）,前置任务,后置任务,接受条件：最低最高等级,完成条件：组队类型（-1不组队1需要联盟组队2师徒组队）,完成条件：胜利次数,完成条件：完成次数,完成条件：使用英雄类型,完成条件：拥有X个英雄,完成条件：拥有X个英雄皮肤类型,完成条件：角色等级达到X级,完成条件：角色总场次达到X场,完成条件：打开宝箱个数,完成条件：联盟捐献次数,显示奖励类型（0绑金1角色经验2第一个奖励ID）,奖励绑定金钱,奖励角色经验,奖励ID（奖励id;间隔）,任务客户端引导类型ID（1联盟首胜2联盟组队3参与比赛4开宝箱5宝石6联盟7师徒8英雄晋升）,子类（1炫耀、2互助、3交友、4心情、5一起玩）,子类名称,具体类型,具体类型名称,发布说明,心情话语,任务星级
int,string,string,int,int,int,string,int,bool,bool,int,int,int,int,int,int,int,string,int,int,int,string,int,int,int,int,int,int,int,int,int,string,int,int,string,int,string,string,string,int
1,联盟首胜,Task1_FirstWin,1,1,99,赢得一场比赛获得宝箱，与联盟成员组队获胜可获得全部奖励,2,1,0,1,22,1,0,0,-1,-1,0;120,1,2,-1,-1,-1,-1,-1,-1,-1,-1,2,0,0,1505;1539,1,,,,,,,3
3,多次胜利,Task3_MoreWin,6,1,0,赢得两场比赛的胜利,2,1,1,2,-1,1,0,0,-1,-1,0;120,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,0,300,0,,3,,,,,,,2
4,联盟比赛,Task4_ClanGame,6,1,0,与联盟成员一起完成2次比赛,2,1,1,2,-1,1,0,0,-1,-1,5;120,1,-1,2,-1,-1,-1,-1,-1,-1,-1,0,300,0,,2,,,,,,,2
7,师徒齐心,Task_7_ShiTu,6,1,0,与师傅或者徒弟共同完成1场比赛,2,1,1,2,-1,1,0,0,31,-1,0;120,2,-1,1,-1,-1,-1,-1,-1,-1,-1,0,300,0,,7,,,,,,,2
5,战士坦克,Task5_WarriorGame,6,1,0,使用战士或坦克类英雄完成两场比赛,2,1,1,2,-1,1,0,0,-1,-1,0;120,-1,-1,2,0;1,-1,-1,-1,-1,-1,-1,0,300,0,,3,,,,,,,2
6,法师射手,Task6_MageGame,6,1,0,使用法师或射手类英雄完成两场比赛,2,1,1,2,-1,1,0,0,-1,-1,0;120,-1,-1,2,2;3,-1,-1,-1,-1,-1,-1,0,300,0,,3,,,,,,,2
10,新手引导,Task_10_CompleteGame,4,1,0,依照提示完成新手指引,2,1,0,-1,-1,-1,-1,0,-1,-1,0;120,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,500,0,1515;1512,3,,,,,,,3
16,完成比赛,Task_16_CompleteGame1,4,1,0,完成1场比赛,2,1,1,-1,-1,-1,-1,0,-1,17,0;120,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,2,500,0,1515;1512,3,,,,,,,3
17,完成比赛,Task_17_CompleteGame2,4,1,0,完成1场比赛,2,1,1,-1,-1,-1,-1,0,16,18,0;120,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,2,800,0,1516;1512,3,,,,,,,3
18,完成比赛,Task_18_CompleteGame3,4,1,0,完成2场比赛,2,1,1,-1,-1,-1,-1,0,17,19,0;120,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,2,1000,0,1515;1512,3,,,,,,,3
19,完成比赛,Task_19_CompleteGame4,4,1,0,完成2场比赛,2,1,1,-1,-1,-1,-1,0,18,20,0;120,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,2,1000,0,1515;1512,3,,,,,,,3
20,完成比赛,Task_20_CompleteGame5,4,1,0,完成2场比赛,2,1,1,-1,-1,-1,-1,0,19,-1,0;120,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,2,1000,0,1516;1512,3,,,,,,,3
13,基因强化1,Task_13_UpGradeHero,4,1,0,在角色-英雄界面对任意英雄进行一次基因强化,2,1,1,-1,-1,-1,-1,0,16,21,0;120,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,500,0,,8,,,,,,,2
21,基因强化2,Task_21_UpGradeHero2,4,1,0,选择你喜欢的英雄基因强化至意识觉醒体（5）,2,1,1,-1,-1,-1,-1,0,13,-1,0;120,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,800,0,,8,,,,,,,2
11,使用宝箱,Task_11_UseChest,4,1,0,在宝箱界面打开一次宝箱,2,1,1,-1,-1,-1,-1,0,109,12,120;120,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,2,,0,4506,4,,,,,,,1
12,使用核晶,Task_12_InlayGem,4,1,0,在核晶界面放入一枚魔能核晶,2,1,1,-1,-1,-1,-1,0,109,13,120;120,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,500,0,,5,,,,,,,1
14,终结技试炼,Task_14_UseXP,4,1,0,在任意战场中，当终结技提示时，按Z使用一次终结技,2,1,1,-1,-1,-1,-1,0,109,-1,120;120,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,800,0,,3,,,,,,,1
30,翅膀飞行,Task_30_UseWarWring,4,1,0,战场内使用一次翅膀飞行,2,1,1,-1,-1,-1,-1,0,109,31,120;120,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,500,0,,3,,,,,,,1
31,师徒任务,Task_31_BuildMentorship,4,1,0,成功拜师或者收徒，建立师徒关系,2,1,1,-1,-1,-1,-1,0,-1,32,0;120,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1000,0,1515,7,,,,,,,3
32,师徒齐心,Task_32_MentorshipGame,4,1,0,与师傅或者徒弟共同完成1场比赛,2,1,1,-1,-1,-1,-1,0,31,33,0;120,2,-1,1,-1,-1,-1,-1,-1,-1,-1,2,1000,0,4506,7,,,,,,,3
33,达到9级,Task_33_UpLevel,4,1,0,努力参与比赛达到9级,2,1,1,-1,-1,-1,-1,0,32,15,0;120,-1,-1,-1,-1,-1,-1,9,-1,-1,-1,0,1200,0,,3,,,,,,,2
15,击杀首领,Task_15_KillMonster,4,1,0,在战场内击杀一次魔晶蓝龙,2,1,1,-1,-1,-1,-1,0,33,34,0;120,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,1200,0,,3,,,,,,,2
34,师徒齐心,Task_34_MentorshipGame,4,1,0,与师傅或者徒弟共同完成1场比赛,2,1,1,-1,-1,-1,-1,0,15,35,0;120,2,-1,1,-1,-1,-1,-1,-1,-1,-1,0,1200,0,,7,,,,,,,2
35,达到12级,Task_35_UpLevel,4,1,0,努力参与比赛达到12级,2,1,1,-1,-1,-1,-1,0,34,36,0;120,-1,-1,-1,-1,-1,-1,12,-1,-1,-1,0,1200,0,,3,,,,,,,2
36,师徒齐心,Task_36_MentorshipGame,4,1,0,与师傅或者徒弟共同完成1场比赛,2,1,1,-1,-1,-1,-1,0,35,37,0;120,2,-1,1,-1,-1,-1,-1,-1,-1,-1,0,1200,0,,7,,,,,,,2
37,达到16级,Task_37_UpLevel,4,1,0,努力参与比赛达到16级,2,1,1,-1,-1,-1,-1,0,36,38,0;120,-1,-1,-1,-1,-1,-1,16,-1,-1,-1,0,1200,0,,3,,,,,,,2
38,师徒齐心,Task_38_MentorshipGame,4,1,0,与师傅或者徒弟共同完成1场比赛,2,1,1,-1,-1,-1,-1,0,37,-1,0;120,2,-1,1,-1,-1,-1,-1,-1,-1,-1,0,1200,0,,,,,,,,,2
100,皮肤回响1,Task_100_CollectSkin,4,1,0,拥有5个英雄皮肤,2,1,1,-1,-1,-1,-1,0,109,101,0;120,-1,-1,-1,-1,-1,5,-1,-1,-1,-1,2,,0,1514,,,,,,,,1
101,皮肤回响2,Task_101_CollectSkin,4,1,0,拥有10个英雄皮肤,2,1,1,-1,-1,-1,-1,0,100,102,0;120,-1,-1,-1,-1,-1,10,-1,-1,-1,-1,2,,0,1514,,,,,,,,1
102,皮肤回响3,Task_102_CollectSkin,4,1,0,拥有15个英雄皮肤,2,1,1,-1,-1,-1,-1,0,101,103,0;120,-1,-1,-1,-1,-1,15,-1,-1,-1,-1,2,,0,1514,,,,,,,,1
103,皮肤回响4,Task_103_CollectSkin,4,1,0,拥有20个英雄皮肤,2,1,1,-1,-1,-1,-1,0,102,104,0;120,-1,-1,-1,-1,-1,20,-1,-1,-1,-1,2,,0,1514,,,,,,,,1
104,皮肤回响5,Task_104_CollectSkin,4,1,0,拥有25个英雄皮肤,2,1,1,-1,-1,-1,-1,0,103,105,0;120,-1,-1,-1,-1,-1,25,-1,-1,-1,-1,2,,0,1514,,,,,,,,1
105,皮肤回响6,Task_105_CollectSkin,4,1,0,拥有30个英雄皮肤,2,1,1,-1,-1,-1,-1,0,104,106,0;120,-1,-1,-1,-1,-1,30,-1,-1,-1,-1,2,,0,1514,,,,,,,,1
106,皮肤回响7,Task_106_CollectSkin,4,1,0,拥有35个英雄皮肤,2,1,1,-1,-1,-1,-1,0,105,107,0;120,-1,-1,-1,-1,-1,35,-1,-1,-1,-1,2,,0,1514,,,,,,,,1
107,皮肤回响8,Task_107_CollectSkin,4,1,0,拥有40个英雄皮肤,2,1,1,-1,-1,-1,-1,0,106,108,0;120,-1,-1,-1,-1,-1,40,-1,-1,-1,-1,2,,0,1514,,,,,,,,1
108,皮肤回响9,Task_108_CollectSkin,4,1,0,拥有45个英雄皮肤,2,1,1,-1,-1,-1,-1,0,107,109,0;120,-1,-1,-1,-1,-1,45,-1,-1,-1,-1,2,,0,1514,,,,,,,,1
109,皮肤回响10,Task_109_CollectSkin,4,1,0,拥有50个英雄皮肤,2,1,1,-1,-1,-1,-1,0,108,-1,0;120,-1,-1,-1,-1,-1,50,-1,-1,-1,-1,2,,0,1514,,,,,,,,1
200,英雄的号角,Task_200_CollectHero,4,1,0,拥有英雄数量达到5，参与战场可解锁新英雄,2,1,1,-1,-1,-1,-1,0,109,201,0;120,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,0,500,0,,3,,,,,,,2
201,英雄的号角1,Task_201_CollectHero,4,1,0,拥有英雄数量达到10，参与战场可解锁新英雄,2,1,1,-1,-1,-1,-1,0,-1,202,0;120,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,0,500,0,,3,,,,,,,2
202,英雄的号角2,Task_202_CollectHero,4,1,0,拥有英雄数量达到15，参与战场可解锁新英雄,2,1,1,-1,-1,-1,-1,0,201,203,0;120,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,0,500,0,,3,,,,,,,2
203,英雄的号角3,Task_203_CollectHero,4,1,0,拥有英雄数量达到20，参与战场可解锁新英雄,2,1,1,-1,-1,-1,-1,0,202,204,0;120,-1,-1,-1,-1,20,-1,-1,-1,-1,-1,0,500,0,,3,,,,,,,2
204,英雄的号角4,Task_204_CollectHero,4,1,0,拥有英雄数量达到25，参与战场可解锁新英雄,2,1,1,-1,-1,-1,-1,0,203,205,0;120,-1,-1,-1,-1,25,-1,-1,-1,-1,-1,0,500,0,,3,,,,,,,2
205,英雄的号角5,Task_205_CollectHero,4,1,0,拥有英雄数量达到30，参与战场可解锁新英雄,2,1,1,-1,-1,-1,-1,0,204,206,0;120,-1,-1,-1,-1,30,-1,-1,-1,-1,-1,0,500,0,,3,,,,,,,2
206,英雄的号角6,Task_206_CollectHero,4,1,0,拥有英雄数量达到35，参与战场可解锁新英雄,2,1,1,-1,-1,-1,-1,0,205,207,0;120,-1,-1,-1,-1,35,-1,-1,-1,-1,-1,0,500,0,,3,,,,,,,2
207,英雄的号角7,Task_207_CollectHero,4,1,0,拥有英雄数量达到40，参与战场可解锁新英雄,2,1,1,-1,-1,-1,-1,0,206,208,0;120,-1,-1,-1,-1,40,-1,-1,-1,-1,-1,0,500,0,,3,,,,,,,2
208,英雄的号角8,Task_208_CollectHero,4,1,0,拥有英雄数量达到45，参与战场可解锁新英雄,2,1,1,-1,-1,-1,-1,0,207,209,0;120,-1,-1,-1,-1,45,-1,-1,-1,-1,-1,0,500,0,,3,,,,,,,2
209,英雄的号角9,Task_209_CollectHero,4,1,0,拥有英雄数量达到50，参与战场可解锁新英雄,2,1,1,-1,-1,-1,-1,0,208,-1,0;120,-1,-1,-1,-1,50,-1,-1,-1,-1,-1,0,500,0,,3,,,,,,,2
300,传说中的五连破,Task_300_Display5Kill,5,1,0,需要在任意一场比赛中打出五连破的好成绩,2,1,1,-1,-1,-1,-1,0,-1,-1,8;120,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,180,0,,3,1,小炫耀,1,五连分享,分享你的五连破战绩，看看有没有人可以达到！,哈哈哈，你有没有打过五连破战绩？如果这都没有那就……,1
301,传说中的五连破,Task_300_Display5Kill,5,1,0,需要在任意一场比赛中打出五连破的好成绩,2,1,1,-1,-1,-1,-1,0,-1,-1,8;120,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,180,0,,3,1,小炫耀,1,五连分享,分享你的五连破战绩，看看有没有人可以达到！,哈哈哈，你有没有打过五连破战绩？如果这都没有那就……,1
302,传说中的五连破,Task_300_Display5Kill,5,1,0,需要在任意一场比赛中打出五连破的好成绩,2,1,1,-1,-1,-1,-1,0,-1,-1,8;120,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,180,0,,3,1,小炫耀,1,五连分享,分享你的五连破战绩，看看有没有人可以达到！,哈哈哈，你有没有打过五连破战绩？如果这都没有那就……,1
303,传说中的五连破,Task_300_Display5Kill,5,1,0,需要在任意一场比赛中打出五连破的好成绩,2,1,1,-1,-1,-1,-1,0,-1,-1,8;120,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,180,0,,3,1,小炫耀,1,五连分享,分享你的五连破战绩，看看有没有人可以达到！,哈哈哈，你有没有打过五连破战绩？如果这都没有那就……,1
304,传说中的五连破,Task_300_Display5Kill,5,1,0,需要在任意一场比赛中打出五连破的好成绩,2,1,1,-1,-1,-1,-1,0,-1,-1,8;120,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,180,0,,3,1,小炫耀,1,五连分享,分享你的五连破战绩，看看有没有人可以达到！,哈哈哈，你有没有打过五连破战绩？如果这都没有那就……,1
305,传说中的五连破,Task_300_Display5Kill,5,1,0,需要在任意一场比赛中打出五连破的好成绩,2,1,1,-1,-1,-1,-1,0,-1,-1,8;120,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,180,0,,3,1,小炫耀,1,五连分享,分享你的五连破战绩，看看有没有人可以达到！,哈哈哈，你有没有打过五连破战绩？如果这都没有那就……,1
306,传说中的五连破,Task_300_Display5Kill,5,1,0,需要在任意一场比赛中打出五连破的好成绩,2,1,1,-1,-1,-1,-1,0,-1,-1,8;120,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,180,0,,3,1,小炫耀,1,五连分享,分享你的五连破战绩，看看有没有人可以达到！,哈哈哈，你有没有打过五连破战绩？如果这都没有那就……,1
307,传说中的五连破,Task_300_Display5Kill,5,1,0,需要在任意一场比赛中打出五连破的好成绩,2,1,1,-1,-1,-1,-1,0,-1,-1,8;120,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,180,0,,3,1,小炫耀,1,五连分享,分享你的五连破战绩，看看有没有人可以达到！,哈哈哈，你有没有打过五连破战绩？如果这都没有那就……,1
308,传说中的五连破,Task_300_Display5Kill,5,1,0,需要在任意一场比赛中打出五连破的好成绩,2,1,1,-1,-1,-1,-1,0,-1,-1,8;120,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,180,0,,3,1,小炫耀,1,五连分享,分享你的五连破战绩，看看有没有人可以达到！,哈哈哈，你有没有打过五连破战绩？如果这都没有那就……,1
309,传说中的五连破,Task_300_Display5Kill,5,1,0,需要在任意一场比赛中打出五连破的好成绩,2,1,1,-1,-1,-1,-1,0,-1,-1,8;120,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,180,0,,3,1,小炫耀,1,五连分享,分享你的四连破战绩，看看有没有人可以达到！,你有没有打过四连破战绩？这可是一个简单的小要求，应该能轻松达到！,1
310,四连的互相伤害,Task_301_Display4Kill,5,1,0,需要在任意一场比赛中打出四连破的好成绩,2,1,1,-1,-1,-1,-1,0,-1,-1,8;120,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,180,0,,3,1,小炫耀,2,四连分享,分享你的四连破战绩，看看有没有人可以达到！,你有没有打过四连破战绩？这可是一个简单的小要求，应该能轻松达到！,1
311,四连的互相伤害,Task_301_Display4Kill,5,1,0,需要在任意一场比赛中打出四连破的好成绩,2,1,1,-1,-1,-1,-1,0,-1,-1,8;120,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,180,0,,3,1,小炫耀,2,四连分享,分享你的四连破战绩，看看有没有人可以达到！,你有没有打过四连破战绩？这可是一个简单的小要求，应该能轻松达到！,1
312,四连的互相伤害,Task_301_Display4Kill,5,1,0,需要在任意一场比赛中打出四连破的好成绩,2,1,1,-1,-1,-1,-1,0,-1,-1,8;120,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,180,0,,3,1,小炫耀,2,四连分享,分享你的四连破战绩，看看有没有人可以达到！,你有没有打过四连破战绩？这可是一个简单的小要求，应该能轻松达到！,1
313,四连的互相伤害,Task_301_Display4Kill,5,1,0,需要在任意一场比赛中打出四连破的好成绩,2,1,1,-1,-1,-1,-1,0,-1,-1,8;120,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,180,0,,3,1,小炫耀,2,四连分享,分享你的四连破战绩，看看有没有人可以达到！,你有没有打过四连破战绩？这可是一个简单的小要求，应该能轻松达到！,1
314,四连的互相伤害,Task_301_Display4Kill,5,1,0,需要在任意一场比赛中打出四连破的好成绩,2,1,1,-1,-1,-1,-1,0,-1,-1,8;120,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,180,0,,3,1,小炫耀,2,四连分享,分享你的四连破战绩，看看有没有人可以达到！,你有没有打过四连破战绩？这可是一个简单的小要求，应该能轻松达到！,1
315,四连的互相伤害,Task_301_Display4Kill,5,1,0,需要在任意一场比赛中打出四连破的好成绩,2,1,1,-1,-1,-1,-1,0,-1,-1,8;120,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,180,0,,3,1,小炫耀,2,四连分享,分享你的四连破战绩，看看有没有人可以达到！,你有没有打过四连破战绩？这可是一个简单的小要求，应该能轻松达到！,1
316,四连的互相伤害,Task_301_Display4Kill,5,1,0,需要在任意一场比赛中打出四连破的好成绩,2,1,1,-1,-1,-1,-1,0,-1,-1,8;120,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,180,0,,3,1,小炫耀,2,四连分享,分享你的四连破战绩，看看有没有人可以达到！,你有没有打过四连破战绩？这可是一个简单的小要求，应该能轻松达到！,1
317,四连的互相伤害,Task_301_Display4Kill,5,1,0,需要在任意一场比赛中打出四连破的好成绩,2,1,1,-1,-1,-1,-1,0,-1,-1,8;120,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,180,0,,3,1,小炫耀,2,四连分享,分享你的四连破战绩，看看有没有人可以达到！,你有没有打过四连破战绩？这可是一个简单的小要求，应该能轻松达到！,1
