编号,名称,任务脚本,任务类型（1首胜任务2帮会任务3循环任务4主线5交互6日常7排位）,任务追踪显示位置（1任务系统2帮会任务界面）,优先级排序（0为不处理，数字越大写的越前）,任务描述,提示类型（0接受不提示1接受提示2完成提示）,下线保存（0保存1不保存）,是否允许删除（0不可删除1可删除）,循环类型（1按小时刷新2每日固定时间刷新3每周刷新）,小时刷新间隔,每日重复次数,每周重复次数,任务数据清除条件（0不清除1每日清除2每周清除）,前置任务,后置任务,接受条件：最低最高等级,完成条件：组队类型（-1不组队1需要联盟组队2师徒组队）,完成条件：胜利次数,完成条件：完成次数,完成条件：使用英雄类型,完成条件：拥有X个英雄,完成条件：拥有X个英雄皮肤类型,完成条件：角色等级达到X级,完成条件：角色总场次达到X场,完成条件：打开宝箱个数,完成条件：联盟捐献次数,显示奖励类型（0绑金1角色经验2第一个奖励ID）,奖励绑定金钱,奖励角色经验,奖励ID（奖励id;间隔）,任务客户端引导类型ID（1联盟首胜2联盟组队3参与比赛4开宝箱5宝石6联盟7师徒8英雄晋升）,子类（1炫耀、2互助、3交友、4心情、5一起玩）,子类名称,具体类型,具体类型名称,发布说明,心情话语,任务星级
318,四连的互相伤害,Task_301_Display4Kill,5,1,0,需要在任意一场比赛中打出四连破的好成绩,2,1,1,-1,-1,-1,-1,0,-1,-1,8;120,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,180,0,,3,1,小炫耀,2,四连分享,分享你的四连破战绩，看看有没有人可以达到！,你有没有打过四连破战绩？这可是一个简单的小要求，应该能轻松达到！,1
319,四连的互相伤害,Task_301_Display4Kill,5,1,0,需要在任意一场比赛中打出四连破的好成绩,2,1,1,-1,-1,-1,-1,0,-1,-1,8;120,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,180,0,,3,1,小炫耀,2,四连分享,分享你的四连破战绩，看看有没有人可以达到！,你有没有打过四连破战绩？这可是一个简单的小要求，应该能轻松达到！,1
320,三连小晒一把,Task_302_Display3Kill,5,1,0,需要在任意一场比赛中打出三连破的好成绩,2,1,1,-1,-1,-1,-1,0,-1,-1,5;120,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,150,0,,3,1,小炫耀,3,三连分享,分享你的三连破战绩，看看有没有人能来个超越！,三连破的战绩是一个小成就？你不会没有吧,1
321,三连小晒一把,Task_302_Display3Kill,5,1,0,需要在任意一场比赛中打出三连破的好成绩,2,1,1,-1,-1,-1,-1,0,-1,-1,5;120,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,150,0,,3,1,小炫耀,3,三连分享,分享你的三连破战绩，看看有没有人能来个超越！,三连破的战绩是一个小成就？你不会没有吧,1
322,三连小晒一把,Task_302_Display3Kill,5,1,0,需要在任意一场比赛中打出三连破的好成绩,2,1,1,-1,-1,-1,-1,0,-1,-1,5;120,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,150,0,,3,1,小炫耀,3,三连分享,分享你的三连破战绩，看看有没有人能来个超越！,三连破的战绩是一个小成就？你不会没有吧,1
323,三连小晒一把,Task_302_Display3Kill,5,1,0,需要在任意一场比赛中打出三连破的好成绩,2,1,1,-1,-1,-1,-1,0,-1,-1,5;120,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,150,0,,3,1,小炫耀,3,三连分享,分享你的三连破战绩，看看有没有人能来个超越！,三连破的战绩是一个小成就？你不会没有吧,1
324,三连小晒一把,Task_302_Display3Kill,5,1,0,需要在任意一场比赛中打出三连破的好成绩,2,1,1,-1,-1,-1,-1,0,-1,-1,5;120,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,150,0,,3,1,小炫耀,3,三连分享,分享你的三连破战绩，看看有没有人能来个超越！,三连破的战绩是一个小成就？你不会没有吧,1
325,三连小晒一把,Task_302_Display3Kill,5,1,0,需要在任意一场比赛中打出三连破的好成绩,2,1,1,-1,-1,-1,-1,0,-1,-1,5;120,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,150,0,,3,1,小炫耀,3,三连分享,分享你的三连破战绩，看看有没有人能来个超越！,三连破的战绩是一个小成就？你不会没有吧,1
326,三连小晒一把,Task_302_Display3Kill,5,1,0,需要在任意一场比赛中打出三连破的好成绩,2,1,1,-1,-1,-1,-1,0,-1,-1,5;120,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,150,0,,3,1,小炫耀,3,三连分享,分享你的三连破战绩，看看有没有人能来个超越！,三连破的战绩是一个小成就？你不会没有吧,1
327,三连小晒一把,Task_302_Display3Kill,5,1,0,需要在任意一场比赛中打出三连破的好成绩,2,1,1,-1,-1,-1,-1,0,-1,-1,5;120,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,150,0,,3,1,小炫耀,3,三连分享,分享你的三连破战绩，看看有没有人能来个超越！,三连破的战绩是一个小成就？你不会没有吧,1
328,三连小晒一把,Task_302_Display3Kill,5,1,0,需要在任意一场比赛中打出三连破的好成绩,2,1,1,-1,-1,-1,-1,0,-1,-1,5;120,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,150,0,,3,1,小炫耀,3,三连分享,分享你的三连破战绩，看看有没有人能来个超越！,三连破的战绩是一个小成就？你不会没有吧,1
329,三连小晒一把,Task_302_Display3Kill,5,1,0,需要在任意一场比赛中打出三连破的好成绩,2,1,1,-1,-1,-1,-1,0,-1,-1,5;120,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,150,0,,3,1,小炫耀,3,三连分享,分享你的三连破战绩，看看有没有人能来个超越！,三连破的战绩是一个小成就？你不会没有吧,1
330,超神的传说,Task_303_DisplaySuperGod,5,1,0,需要在任意一场比赛中打出超神的好成绩,2,1,1,-1,-1,-1,-1,0,-1,-1,5;120,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,2,0,0,1537,3,1,小炫耀,4,超神分享,用你的超神战绩，向收到信号的人炫耀一下,我已经打出了超神，你的呢？我们一起比一比！,3
331,超神的传说,Task_303_DisplaySuperGod,5,1,0,需要在任意一场比赛中打出超神的好成绩,2,1,1,-1,-1,-1,-1,0,-1,-1,5;120,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,2,0,0,1537,3,1,小炫耀,4,超神分享,用你的超神战绩，向收到信号的人炫耀一下,我已经打出了超神，你的呢？我们一起比一比！,3
332,超神的传说,Task_303_DisplaySuperGod,5,1,0,需要在任意一场比赛中打出超神的好成绩,2,1,1,-1,-1,-1,-1,0,-1,-1,5;120,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,2,0,0,1537,3,1,小炫耀,4,超神分享,用你的超神战绩，向收到信号的人炫耀一下,我已经打出了超神，你的呢？我们一起比一比！,3
333,超神的传说,Task_303_DisplaySuperGod,5,1,0,需要在任意一场比赛中打出超神的好成绩,2,1,1,-1,-1,-1,-1,0,-1,-1,5;120,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,2,0,0,1537,3,1,小炫耀,4,超神分享,用你的超神战绩，向收到信号的人炫耀一下,我已经打出了超神，你的呢？我们一起比一比！,3
334,超神的传说,Task_303_DisplaySuperGod,5,1,0,需要在任意一场比赛中打出超神的好成绩,2,1,1,-1,-1,-1,-1,0,-1,-1,5;120,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,2,0,0,1537,3,1,小炫耀,4,超神分享,用你的超神战绩，向收到信号的人炫耀一下,我已经打出了超神，你的呢？我们一起比一比！,3
335,超神的传说,Task_303_DisplaySuperGod,5,1,0,需要在任意一场比赛中打出超神的好成绩,2,1,1,-1,-1,-1,-1,0,-1,-1,5;120,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,2,0,0,1537,3,1,小炫耀,4,超神分享,用你的超神战绩，向收到信号的人炫耀一下,我已经打出了超神，你的呢？我们一起比一比！,3
336,超神的传说,Task_303_DisplaySuperGod,5,1,0,需要在任意一场比赛中打出超神的好成绩,2,1,1,-1,-1,-1,-1,0,-1,-1,5;120,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,2,0,0,1537,3,1,小炫耀,4,超神分享,用你的超神战绩，向收到信号的人炫耀一下,我已经打出了超神，你的呢？我们一起比一比！,3
337,超神的传说,Task_303_DisplaySuperGod,5,1,0,需要在任意一场比赛中打出超神的好成绩,2,1,1,-1,-1,-1,-1,0,-1,-1,5;120,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,2,0,0,1537,3,1,小炫耀,4,超神分享,用你的超神战绩，向收到信号的人炫耀一下,我已经打出了超神，你的呢？我们一起比一比！,3
338,超神的传说,Task_303_DisplaySuperGod,5,1,0,需要在任意一场比赛中打出超神的好成绩,2,1,1,-1,-1,-1,-1,0,-1,-1,5;120,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,2,0,0,1537,3,1,小炫耀,4,超神分享,用你的超神战绩，向收到信号的人炫耀一下,我已经打出了超神，你的呢？我们一起比一比！,3
339,超神的传说,Task_303_DisplaySuperGod,5,1,0,需要在任意一场比赛中打出超神的好成绩,2,1,1,-1,-1,-1,-1,0,-1,-1,5;120,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,2,0,0,1537,3,1,小炫耀,4,超神分享,用你的超神战绩，向收到信号的人炫耀一下,我已经打出了超神，你的呢？我们一起比一比！,3
340,我有的你有没有,Task_304_DisplayMVP,5,1,0,需要在任意一场比赛中拿到全场最佳,2,1,1,-1,-1,-1,-1,0,-1,-1,5;120,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,2,0,0,1537,3,1,小炫耀,5,全场最佳,向收到信号的人晒一下你的全场最佳战绩,评价分高，全场最佳才是王道！每一场都是一个小飞跃！,3
341,我有的你有没有,Task_304_DisplayMVP,5,1,0,需要在任意一场比赛中拿到全场最佳,2,1,1,-1,-1,-1,-1,0,-1,-1,5;120,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,2,0,0,1537,3,1,小炫耀,5,全场最佳,向收到信号的人晒一下你的全场最佳战绩,评价分高，全场最佳才是王道！每一场都是一个小飞跃！,3
342,我有的你有没有,Task_304_DisplayMVP,5,1,0,需要在任意一场比赛中拿到全场最佳,2,1,1,-1,-1,-1,-1,0,-1,-1,5;120,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,2,0,0,1537,3,1,小炫耀,5,全场最佳,向收到信号的人晒一下你的全场最佳战绩,评价分高，全场最佳才是王道！每一场都是一个小飞跃！,3
343,我有的你有没有,Task_304_DisplayMVP,5,1,0,需要在任意一场比赛中拿到全场最佳,2,1,1,-1,-1,-1,-1,0,-1,-1,5;120,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,2,0,0,1537,3,1,小炫耀,5,全场最佳,向收到信号的人晒一下你的全场最佳战绩,评价分高，全场最佳才是王道！每一场都是一个小飞跃！,3
344,我有的你有没有,Task_304_DisplayMVP,5,1,0,需要在任意一场比赛中拿到全场最佳,2,1,1,-1,-1,-1,-1,0,-1,-1,5;120,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,2,0,0,1537,3,1,小炫耀,5,全场最佳,向收到信号的人晒一下你的全场最佳战绩,评价分高，全场最佳才是王道！每一场都是一个小飞跃！,3
345,我有的你有没有,Task_304_DisplayMVP,5,1,0,需要在任意一场比赛中拿到全场最佳,2,1,1,-1,-1,-1,-1,0,-1,-1,5;120,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,2,0,0,1537,3,1,小炫耀,5,全场最佳,向收到信号的人晒一下你的全场最佳战绩,评价分高，全场最佳才是王道！每一场都是一个小飞跃！,3
346,我有的你有没有,Task_304_DisplayMVP,5,1,0,需要在任意一场比赛中拿到全场最佳,2,1,1,-1,-1,-1,-1,0,-1,-1,5;120,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,2,0,0,1537,3,1,小炫耀,5,全场最佳,向收到信号的人晒一下你的全场最佳战绩,评价分高，全场最佳才是王道！每一场都是一个小飞跃！,3
347,我有的你有没有,Task_304_DisplayMVP,5,1,0,需要在任意一场比赛中拿到全场最佳,2,1,1,-1,-1,-1,-1,0,-1,-1,5;120,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,2,0,0,1537,3,1,小炫耀,5,全场最佳,向收到信号的人晒一下你的全场最佳战绩,评价分高，全场最佳才是王道！每一场都是一个小飞跃！,3
348,我有的你有没有,Task_304_DisplayMVP,5,1,0,需要在任意一场比赛中拿到全场最佳,2,1,1,-1,-1,-1,-1,0,-1,-1,5;120,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,2,0,0,1537,3,1,小炫耀,5,全场最佳,向收到信号的人晒一下你的全场最佳战绩,评价分高，全场最佳才是王道！每一场都是一个小飞跃！,3
349,我有的你有没有,Task_304_DisplayMVP,5,1,0,需要在任意一场比赛中拿到全场最佳,2,1,1,-1,-1,-1,-1,0,-1,-1,5;120,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,2,0,0,1537,3,1,小炫耀,5,全场最佳,向收到信号的人晒一下你的全场最佳战绩,评价分高，全场最佳才是王道！每一场都是一个小飞跃！,3
350,奇妙的缘份,Task_306_Friend,5,1,0,与信号发送人加为好友完成任务,2,1,1,-1,-1,-1,-1,0,-1,-1,5;120,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,0,0,1512,,3,找朋友,7,找个朋友,随缘寻找一位朋友，不知道你的信号谁会接到呢？,能认识你很高兴，能交个朋友吗，我们一起玩？,1
351,奇妙的缘份,Task_306_Friend,5,1,0,与信号发送人加为好友完成任务,2,1,1,-1,-1,-1,-1,0,-1,-1,5;120,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,0,0,1512,,3,找朋友,7,找个朋友,随缘寻找一位朋友，不知道你的信号谁会接到呢？,能认识你很高兴，能交个朋友吗，我们一起玩？,1
352,奇妙的缘份,Task_306_Friend,5,1,0,与信号发送人加为好友完成任务,2,1,1,-1,-1,-1,-1,0,-1,-1,5;120,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,0,0,1512,,3,找朋友,7,找个朋友,随缘寻找一位朋友，不知道你的信号谁会接到呢？,能认识你很高兴，能交个朋友吗，我们一起玩？,1
353,奇妙的缘份,Task_306_Friend,5,1,0,与信号发送人加为好友完成任务,2,1,1,-1,-1,-1,-1,0,-1,-1,5;120,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,0,0,1512,,3,找朋友,7,找个朋友,随缘寻找一位朋友，不知道你的信号谁会接到呢？,能认识你很高兴，能交个朋友吗，我们一起玩？,1
354,奇妙的缘份,Task_306_Friend,5,1,0,与信号发送人加为好友完成任务,2,1,1,-1,-1,-1,-1,0,-1,-1,5;120,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,0,0,1512,,3,找朋友,7,找个朋友,随缘寻找一位朋友，不知道你的信号谁会接到呢？,能认识你很高兴，能交个朋友吗，我们一起玩？,1
355,奇妙的缘份,Task_306_Friend,5,1,0,与信号发送人加为好友完成任务,2,1,1,-1,-1,-1,-1,0,-1,-1,5;120,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,0,0,1512,,3,找朋友,7,找个朋友,随缘寻找一位朋友，不知道你的信号谁会接到呢？,能认识你很高兴，能交个朋友吗，我们一起玩？,1
356,奇妙的缘份,Task_306_Friend,5,1,0,与信号发送人加为好友完成任务,2,1,1,-1,-1,-1,-1,0,-1,-1,5;120,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,0,0,1512,,3,找朋友,7,找个朋友,随缘寻找一位朋友，不知道你的信号谁会接到呢？,能认识你很高兴，能交个朋友吗，我们一起玩？,1
357,奇妙的缘份,Task_306_Friend,5,1,0,与信号发送人加为好友完成任务,2,1,1,-1,-1,-1,-1,0,-1,-1,5;120,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,0,0,1512,,3,找朋友,7,找个朋友,随缘寻找一位朋友，不知道你的信号谁会接到呢？,能认识你很高兴，能交个朋友吗，我们一起玩？,1
358,奇妙的缘份,Task_306_Friend,5,1,0,与信号发送人加为好友完成任务,2,1,1,-1,-1,-1,-1,0,-1,-1,5;120,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,0,0,1512,,3,找朋友,7,找个朋友,随缘寻找一位朋友，不知道你的信号谁会接到呢？,能认识你很高兴，能交个朋友吗，我们一起玩？,1
359,奇妙的缘份,Task_306_Friend,5,1,0,与信号发送人加为好友完成任务,2,1,1,-1,-1,-1,-1,0,-1,-1,5;120,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,0,0,1512,,3,找朋友,7,找个朋友,随缘寻找一位朋友，不知道你的信号谁会接到呢？,能认识你很高兴，能交个朋友吗，我们一起玩？,1
370,求师傅啊,Task_308_ApplyMaster,5,1,0,收信号发送人为徒弟完成任务,2,1,1,-1,-1,-1,-1,0,-1,-1,10;120,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,200,0,,,3,找朋友,9,拜师,发送一枚信号，请求寻找一位师傅,大神你好，认识你很高兴，能收我当徒弟吗？,1
371,求师傅啊,Task_308_ApplyMaster,5,1,0,收信号发送人为徒弟完成任务,2,1,1,-1,-1,-1,-1,0,-1,-1,10;120,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,200,0,,,3,找朋友,9,拜师,发送一枚信号，请求寻找一位师傅,大神你好，认识你很高兴，能收我当徒弟吗？,1
372,求师傅啊,Task_308_ApplyMaster,5,1,0,收信号发送人为徒弟完成任务,2,1,1,-1,-1,-1,-1,0,-1,-1,10;120,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,200,0,,,3,找朋友,9,拜师,发送一枚信号，请求寻找一位师傅,大神你好，认识你很高兴，能收我当徒弟吗？,1
373,求师傅啊,Task_308_ApplyMaster,5,1,0,收信号发送人为徒弟完成任务,2,1,1,-1,-1,-1,-1,0,-1,-1,10;120,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,200,0,,,3,找朋友,9,拜师,发送一枚信号，请求寻找一位师傅,大神你好，认识你很高兴，能收我当徒弟吗？,1
374,求师傅啊,Task_308_ApplyMaster,5,1,0,收信号发送人为徒弟完成任务,2,1,1,-1,-1,-1,-1,0,-1,-1,10;120,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,200,0,,,3,找朋友,9,拜师,发送一枚信号，请求寻找一位师傅,大神你好，认识你很高兴，能收我当徒弟吗？,1
375,求师傅啊,Task_308_ApplyMaster,5,1,0,收信号发送人为徒弟完成任务,2,1,1,-1,-1,-1,-1,0,-1,-1,10;120,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,200,0,,,3,找朋友,9,拜师,发送一枚信号，请求寻找一位师傅,大神你好，认识你很高兴，能收我当徒弟吗？,1
376,求师傅啊,Task_308_ApplyMaster,5,1,0,收信号发送人为徒弟完成任务,2,1,1,-1,-1,-1,-1,0,-1,-1,10;120,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,200,0,,,3,找朋友,9,拜师,发送一枚信号，请求寻找一位师傅,大神你好，认识你很高兴，能收我当徒弟吗？,1
377,求师傅啊,Task_308_ApplyMaster,5,1,0,收信号发送人为徒弟完成任务,2,1,1,-1,-1,-1,-1,0,-1,-1,10;120,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,200,0,,,3,找朋友,9,拜师,发送一枚信号，请求寻找一位师傅,大神你好，认识你很高兴，能收我当徒弟吗？,1
378,求师傅啊,Task_308_ApplyMaster,5,1,0,收信号发送人为徒弟完成任务,2,1,1,-1,-1,-1,-1,0,-1,-1,10;120,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,200,0,,,3,找朋友,9,拜师,发送一枚信号，请求寻找一位师傅,大神你好，认识你很高兴，能收我当徒弟吗？,1
379,求师傅啊,Task_308_ApplyMaster,5,1,0,收信号发送人为徒弟完成任务,2,1,1,-1,-1,-1,-1,0,-1,-1,10;120,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,200,0,,,3,找朋友,9,拜师,发送一枚信号，请求寻找一位师傅,大神你好，认识你很高兴，能收我当徒弟吗？,1
380,心愿祝福,Task_309_Bless,5,1,0,发送2条祝福回复后完成任务,2,1,1,-1,-1,-1,-1,0,-1,-1,5;120,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,0,0,1511,,4,好心情,10,心愿祝福,向接收信号的人发送一份美好祝福,祝愿你心想事成，万事如意，千万不要断，求再发给下一个人,1
381,心愿祝福,Task_309_Bless,5,1,0,发送2条祝福回复后完成任务,2,1,1,-1,-1,-1,-1,0,-1,-1,5;120,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,0,0,1511,,4,好心情,10,心愿祝福,向接收信号的人发送一份美好祝福,祝愿你心想事成，万事如意，千万不要断，求再发给下一个人,1
382,心愿祝福,Task_309_Bless,5,1,0,发送2条祝福回复后完成任务,2,1,1,-1,-1,-1,-1,0,-1,-1,5;120,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,0,0,1511,,4,好心情,10,心愿祝福,向接收信号的人发送一份美好祝福,祝愿你心想事成，万事如意，千万不要断，求再发给下一个人,1
383,心愿祝福,Task_309_Bless,5,1,0,发送2条祝福回复后完成任务,2,1,1,-1,-1,-1,-1,0,-1,-1,5;120,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,0,0,1511,,4,好心情,10,心愿祝福,向接收信号的人发送一份美好祝福,祝愿你心想事成，万事如意，千万不要断，求再发给下一个人,1
384,心愿祝福,Task_309_Bless,5,1,0,发送2条祝福回复后完成任务,2,1,1,-1,-1,-1,-1,0,-1,-1,5;120,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,0,0,1511,,4,好心情,10,心愿祝福,向接收信号的人发送一份美好祝福,祝愿你心想事成，万事如意，千万不要断，求再发给下一个人,1
385,心愿祝福,Task_309_Bless,5,1,0,发送2条祝福回复后完成任务,2,1,1,-1,-1,-1,-1,0,-1,-1,5;120,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,0,0,1511,,4,好心情,10,心愿祝福,向接收信号的人发送一份美好祝福,祝愿你心想事成，万事如意，千万不要断，求再发给下一个人,1
